fiscal_year,fiscal_quarter,fiscal_month,weeks_count,start_date,end_date,month_duration,pay_date
2018,Quarter 1,2017-10-20,5,2017-10-01,2017-11-04,35,2017-12-04
2018,Quarter 1,2017-11-21,4,2017-11-05,2017-12-02,28,2018-01-01
2018,Quarter 1,2017-12-23,4,2017-12-03,2017-12-30,28,2018-01-29
2018,Quarter 2,2018-01-24,5,2017-12-31,2018-02-03,35,2018-03-05
2018,Quarter 2,2018-02-25,4,2018-02-04,2018-03-03,28,2018-04-02
2018,Quarter 2,2018-03-29,4,2018-03-04,2018-03-31,28,2018-04-30
2018,Quarter 3,2018-04-30,5,2018-04-01,2018-05-05,35,2018-06-04
2018,Quarter 3,2018-05-30,4,2018-05-06,2018-06-02,28,2018-07-02
2018,Quarter 3,2018-06-30,4,2018-06-03,2018-06-30,28,2018-07-30
2018,Quarter 4,2018-07-30,5,2018-07-01,2018-08-04,35,2018-09-03
2018,Quarter 4,2018-08-30,4,2018-08-05,2018-09-01,28,2018-10-01
2018,Quarter 4,2018-09-30,4,2018-09-02,2018-09-29,28,2018-10-29
2019,Quarter 1,2018-10-30,5,2018-09-30,2018-11-03,35,2018-12-03
2019,Quarter 1,2018-11-30,4,2018-11-04,2018-12-01,28,2018-12-31
2019,Quarter 1,2018-12-30,4,2018-12-02,2018-12-29,28,2019-01-28
2019,Quarter 2,2019-01-30,5,2018-12-30,2019-02-02,35,2019-03-04
2019,Quarter 2,2019-02-28,4,2019-02-03,2019-03-02,28,2019-04-01
2019,Quarter 2,2019-03-28,4,2019-03-03,2019-03-30,28,2019-04-29
2019,Quarter 3,2019-04-28,5,2019-03-31,2019-05-04,35,2019-06-03
2019,Quarter 3,2019-05-28,4,2019-05-05,2019-06-01,28,2019-07-01
2019,Quarter 3,2019-06-28,4,2019-06-02,2019-06-29,28,2019-07-29
2019,Quarter 4,2019-07-28,5,2019-06-30,2019-08-03,35,2019-09-02
2019,Quarter 4,2019-08-28,4,2019-08-04,2019-08-31,28,2019-09-30
2019,Quarter 4,2019-09-28,4,2019-09-01,2019-09-28,28,2019-10-28
2020,Quarter 1,2019-10-28,5,2019-09-29,2019-11-02,35,2019-12-02
2020,Quarter 1,2019-11-28,4,2019-11-03,2019-11-30,28,2019-12-30
2020,Quarter 1,2019-12-28,4,2019-12-01,2019-12-28,28,2020-01-27
2020,Quarter 2,2020-01-28,5,2019-12-29,2020-02-01,35,2020-03-02
2020,Quarter 2,2020-02-28,4,2020-02-02,2020-02-29,28,2020-03-30
2020,Quarter 2,2020-03-28,4,2020-03-01,2020-03-28,28,2020-04-27
2020,Quarter 3,2020-04-28,5,2020-03-29,2020-05-02,35,2020-06-01
2020,Quarter 3,2020-05-28,4,2020-05-03,2020-05-30,28,2020-06-29
2020,Quarter 3,2020-06-28,4,2020-05-31,2020-06-27,28,2020-07-27
2020,Quarter 4,2020-07-28,5,2020-06-28,2020-08-01,35,2020-08-31
2020,Quarter 4,2020-08-28,4,2020-08-02,2020-08-29,28,2020-09-28
2020,Quarter 4,2020-09-28,4,2020-08-30,2020-09-26,28,2020-10-26
2021,Quarter 1,2020-10-28,5,2020-09-27,2020-10-31,35,2020-11-30
2021,Quarter 1,2020-11-28,4,2020-11-01,2020-11-28,28,2020-12-28
2021,Quarter 1,2020-12-28,4,2020-11-29,2020-12-26,28,2021-01-25
2021,Quarter 2,2021-01-28,5,2020-12-27,2021-01-30,35,2021-03-01
2021,Quarter 2,2021-02-28,4,2021-01-31,2021-02-27,28,2021-03-29
2021,Quarter 2,2021-03-28,4,2021-02-28,2021-03-27,28,2021-04-26
2021,Quarter 3,2021-04-28,5,2021-03-28,2021-05-01,35,2021-05-31
2021,Quarter 3,2021-05-28,4,2021-05-02,2021-05-29,28,2021-06-28
2021,Quarter 3,2021-06-28,4,2021-05-30,2021-06-26,28,2021-07-26
2021,Quarter 4,2021-07-28,5,2021-06-27,2021-07-31,35,2021-08-30
2021,Quarter 4,2021-08-28,4,2021-08-01,2021-08-28,28,2021-09-27
2021,Quarter 4,2021-09-28,4,2021-08-29,2021-09-25,28,2021-10-25